Public filename,Area,Spot,In_Out,Contributor,Duration
1170.wav,westend,leicester,outdoor,S190,8.87
1171.wav,westend,market,indoor,S76,7
1172.wav,westend,market,indoor,S87,9.96
1173.wav,Euston,gardens,outdoor,S15,8.45
1174.wav,campus,ground,indoor,S37,7.04
1175.wav,campus,library,outdoor,S119,10.67
1176.wav,campus,canal,outdoor,S69,7.63
1177.wav,campus,square,outdoor,S38,10.86
1178.wav,westend,trafalgar,outdoor,S69,7.08
1179.wav,campus,curve,indoor,S48,7.41
1180.wav,campus,library,outdoor,S130,7.4
1181.wav,british,room12,indoor,S94,6.85
1182.wav,westend,national,indoor,S28,7.64
1183.wav,Euston,upper,indoor,S145,8.44
1184.wav,campus,ground,indoor,S136,8
1185.wav,westend,piazza,outdoor,S135,10.33
1186.wav,campus,ground,indoor,S58,8.16
1187.wav,campus,reception,indoor,S159,7.1
1188.wav,british,greatcourt,indoor,S140,7.83
1189.wav,campus,reception,indoor,S176,7.74
1190.wav,southbank,waterloo,indoor,S77,7.52
1191.wav,westend,piazza,outdoor,S41,10.82
1192.wav,campus,reception,indoor,S169,7.48
1193.wav,westend,market,indoor,S1,6.9
1194.wav,british,square,outdoor,S136,7.97
1195.wav,Euston,ritblat,indoor,S140,7.6
1196.wav,westend,national,indoor,S178,9.33
1197.wav,westend,leicester,outdoor,S43,7.8
1198.wav,campus,square,outdoor,S108,8.15
1199.wav,westend,piazza,outdoor,S189,8.04
1200.wav,westend,piazza,outdoor,S35,7.25
1201.wav,campus,square,outdoor,S80,10.98
1202.wav,campus,square,outdoor,S69,7.26
1203.wav,westend,piazza,outdoor,S141,7.56
1204.wav,campus,reception,indoor,S95,7.69
1205.wav,southbank,skate,outdoor,S190,8.1
1206.wav,british,square,outdoor,S193,8.14
1207.wav,campus,curve,indoor,S50,7.82
1208.wav,british,street,outdoor,S185,9.1
1209.wav,Euston,upper,indoor,S62,9.27
1210.wav,southbank,bridge,outdoor,S76,7.01
1211.wav,campus,ground,indoor,S23,8.34
1212.wav,campus,ground,indoor,S172,8.07
1213.wav,british,greatcourt,indoor,S82,7.36
1214.wav,campus,canal,outdoor,S3,26.8
1215.wav,kensington,marine,indoor,S148,7.67
1216.wav,westend,charing,indoor,S15,8.04
1217.wav,westend,piazza,outdoor,S69,7.86
1218.wav,kensington,hintze,indoor,S169,7.52
1219.wav,Euston,gardens,outdoor,S100,7.49
1220.wav,westend,trafalgar,outdoor,S166,7.14
1221.wav,Euston,gardens,outdoor,S90,8.1
1222.wav,campus,curve,indoor,S159,7.13
1223.wav,british,square,outdoor,S186,7.57
1224.wav,campus,ground,indoor,S108,8.53
1225.wav,kensington,pond,outdoor,S192,9.94
1226.wav,westend,charing,indoor,S20,7.17
1227.wav,westend,leicester,outdoor,S155,7.91
1228.wav,westend,charing,indoor,S35,7.04
1229.wav,campus,curve,indoor,S16,8.89
1230.wav,westend,leicester,outdoor,S139,9.05
1231.wav,westend,piazza,outdoor,S80,9.41
1232.wav,Euston,forecourt,outdoor,S12,7.76
1233.wav,southbank,royal,indoor,S178,8.24
1234.wav,campus,reception,indoor,S134,8.09
1235.wav,westend,trafalgar,outdoor,S37,7.57
1236.wav,campus,square,outdoor,S34,8.07
1237.wav,campus,ground,indoor,S148,7.24
1238.wav,Euston,ritblat,indoor,S146,7.73
1239.wav,westend,trafalgar,outdoor,S176,9.43
1240.wav,british,square,outdoor,S38,10.23
1241.wav,campus,curve,indoor,S25,9.17
1242.wav,southbank,bridge,outdoor,S85,7.71
1243.wav,campus,curve,indoor,S14,7.83
1244.wav,westend,charing,indoor,S191,7.88
1245.wav,campus,canal,outdoor,S94,8.8
1246.wav,campus,curve,indoor,S81,7.71
1247.wav,british,greatcourt,indoor,S139,8.13
1248.wav,southbank,book,outdoor,S190,9.33
1249.wav,campus,canal,outdoor,S184,6.07
1250.wav,southbank,book,outdoor,S115,8.48
1251.wav,Euston,gardens,outdoor,S109,7.96
1252.wav,campus,ground,indoor,S140,7.53
1253.wav,british,forecourt,outdoor,S140,7.6
1254.wav,campus,square,outdoor,S163,7
1255.wav,kensington,albert,outdoor,S143,7.04
1256.wav,Euston,gardens,outdoor,S129,7.44
1257.wav,british,street,outdoor,S155,7.77
1258.wav,southbank,bridge,outdoor,S170,7.21
1259.wav,westend,trafalgar,outdoor,S163,7
1260.wav,campus,reception,indoor,S145,8.33
1261.wav,british,forecourt,outdoor,S8,8.44
1262.wav,westend,piazza,outdoor,S88,8.56
1263.wav,southbank,book,outdoor,S71,6.8
1264.wav,campus,ground,indoor,S61,7.09
1265.wav,southbank,royal,indoor,S126,7.81
1266.wav,Euston,library,indoor,S146,7.4
1267.wav,campus,curve,indoor,S126,8.07
1268.wav,westend,trafalgar,outdoor,S13,14.65
1269.wav,Euston,ritblat,indoor,S129,7.4
1270.wav,westend,market,indoor,S95,8.87
1271.wav,campus,reception,indoor,S79,7.01
1272.wav,southbank,food,outdoor,S29,7.19
1273.wav,campus,square,outdoor,S99,7.76
1274.wav,westend,national,indoor,S19,8.58
1275.wav,kensington,pond,outdoor,S107,7.78
1276.wav,kensington,hintze,indoor,S145,8.48
1277.wav,westend,market,indoor,S153,7.82
1278.wav,Euston,piazza,outdoor,S157,7.55
1279.wav,westend,national,indoor,S40,7.04
1280.wav,british,room12,indoor,S100,7.42
1281.wav,westend,trafalgar,outdoor,S64,7.23
1282.wav,westend,charing,indoor,S1,7.14
1283.wav,westend,national,indoor,S30,13.24
1284.wav,westend,market,indoor,S75,6.04
1285.wav,westend,piazza,outdoor,S139,6.3
1286.wav,westend,leicester,outdoor,S100,7.46
1287.wav,british,room12,indoor,S65,7.76
1288.wav,southbank,bridge,outdoor,S36,7.01
1289.wav,westend,national,indoor,S99,7.89
1290.wav,Euston,gardens,outdoor,S54,11.31
1291.wav,british,forecourt,outdoor,S71,7.08
1292.wav,Euston,gardens,outdoor,S73,7.41
1293.wav,southbank,food,outdoor,S78,7.57
1294.wav,westend,charing,indoor,S37,7.04
1295.wav,campus,canal,outdoor,S153,10.52
1296.wav,southbank,waterloo,indoor,S79,7.01
1297.wav,westend,market,indoor,S35,7.34
1298.wav,westend,charing,indoor,S55,14.99
1299.wav,westend,charing,indoor,S139,7.66
1300.wav,southbank,bridge,outdoor,S156,7.11
1301.wav,Euston,gardens,outdoor,S166,8.01
1302.wav,british,street,outdoor,S135,10.36
1303.wav,british,forecourt,outdoor,S193,7.47
1304.wav,british,square,outdoor,S37,7.04
1305.wav,westend,national,indoor,S154,8
1306.wav,Euston,piazza,outdoor,S187,10.07
1307.wav,campus,library,outdoor,S185,8.57
1308.wav,westend,charing,indoor,S179,7.71
1309.wav,campus,ground,indoor,S91,7.4
1310.wav,campus,library,outdoor,S73,7.2
1311.wav,westend,national,indoor,S127,8.23
1312.wav,campus,square,outdoor,S156,7.04
1313.wav,westend,market,indoor,S64,7.27
1314.wav,campus,reception,indoor,S153,10.91
1315.wav,westend,piazza,outdoor,S39,8.01
1316.wav,westend,national,indoor,S90,7.29
1317.wav,british,street,outdoor,S63,7.4
1318.wav,campus,canal,outdoor,S177,7.31
1319.wav,westend,national,indoor,S18,9.84
1320.wav,westend,piazza,outdoor,S79,7.01
1321.wav,westend,piazza,outdoor,S37,7.81
1322.wav,westend,leicester,outdoor,S183,8.21
1323.wav,campus,square,outdoor,S150,7.78
1324.wav,british,street,outdoor,S38,10.8
1325.wav,campus,ground,indoor,S111,7.29
1326.wav,british,square,outdoor,S105,7.84
1327.wav,westend,piazza,outdoor,S11,7.06
1328.wav,Euston,library,indoor,S46,7.66
1329.wav,campus,library,outdoor,S154,8
1330.wav,british,street,outdoor,S14,8.76
1331.wav,british,street,outdoor,S35,7.08
1332.wav,campus,reception,indoor,S154,8
1333.wav,southbank,skate,outdoor,S92,6.46
1334.wav,Euston,gardens,outdoor,S43,7.39
1335.wav,british,room12,indoor,S15,8.7
1336.wav,southbank,skate,outdoor,S85,7.94
1337.wav,campus,canal,outdoor,S66,7.99
1338.wav,british,room23,indoor,S140,7.52
1339.wav,campus,reception,indoor,S74,9.44
1340.wav,Euston,forecourt,outdoor,S101,7.6
1341.wav,campus,curve,indoor,S133,7.57
1342.wav,british,forecourt,outdoor,S134,10.11
1343.wav,kensington,hintze,indoor,S84,7.02
1344.wav,campus,curve,indoor,S104,10.75
1345.wav,westend,piazza,outdoor,S1,6.57
1346.wav,kensington,albert,outdoor,S167,8.1
1347.wav,campus,reception,indoor,S23,8.28
1348.wav,campus,reception,indoor,S4,7.54
1349.wav,campus,ground,indoor,S26,7.01
1350.wav,campus,ground,indoor,S114,8.43
1351.wav,southbank,food,outdoor,S41,10.1
1352.wav,campus,reception,indoor,S108,9.2
1353.wav,Euston,forecourt,outdoor,S142,10.4
1354.wav,campus,ground,indoor,S35,7.02
1355.wav,southbank,royal,indoor,S115,7.85
1356.wav,westend,leicester,outdoor,S12,7.96
1357.wav,westend,charing,indoor,S97,7.11
1358.wav,westend,trafalgar,outdoor,S34,8.01
1359.wav,campus,square,outdoor,S168,7.04
1360.wav,westend,piazza,outdoor,S106,7.66
1361.wav,campus,ground,indoor,S173,6.77
1362.wav,campus,ground,indoor,S13,9.45
1363.wav,british,room12,indoor,S81,7.97
1364.wav,westend,national,indoor,S87,9.6
1365.wav,westend,leicester,outdoor,S134,7.45
1366.wav,Euston,library,indoor,S176,10.11
1367.wav,campus,reception,indoor,S61,7.17
1368.wav,british,forecourt,outdoor,S144,9.38
1369.wav,southbank,royal,indoor,S152,10.67
1370.wav,southbank,bridge,outdoor,S142,11.94
1371.wav,campus,library,outdoor,S177,8.66
1372.wav,kensington,pond,outdoor,S167,7.83
1373.wav,westend,market,indoor,S47,7.3
1374.wav,westend,trafalgar,outdoor,S97,7.52
1375.wav,british,greatcourt,indoor,S60,8.3
1376.wav,british,room12,indoor,S187,9.93
1377.wav,westend,trafalgar,outdoor,S133,7.72
1378.wav,kensington,pond,outdoor,S9,9.17
1379.wav,british,greatcourt,indoor,S6,7.22
1380.wav,westend,market,indoor,S74,8.63
1381.wav,westend,national,indoor,S27,11.05
1382.wav,Euston,upper,indoor,S166,6.55
1383.wav,westend,market,indoor,S90,10.1
1384.wav,westend,trafalgar,outdoor,S28,7.57
1385.wav,campus,reception,indoor,S119,11.65
1386.wav,Euston,gardens,outdoor,S145,8.25
1387.wav,british,room12,indoor,S25,8.36
1388.wav,campus,reception,indoor,S35,7.62
1389.wav,campus,curve,indoor,S52,7.15
1390.wav,westend,leicester,outdoor,S21,7.98
1391.wav,Euston,gardens,outdoor,S47,8.11
1392.wav,Euston,forecourt,outdoor,S150,8.24
1393.wav,campus,reception,indoor,S36,7.01
1394.wav,campus,canal,outdoor,S46,8.01
1395.wav,southbank,bridge,outdoor,S49,9.73
1396.wav,westend,trafalgar,outdoor,S83,7.15
1397.wav,campus,ground,indoor,S174,8.68
1398.wav,westend,market,indoor,S58,7.46
1399.wav,Euston,gardens,outdoor,S11,7.11
1400.wav,westend,leicester,outdoor,S91,7.55
1401.wav,campus,reception,indoor,S19,9.34
1402.wav,kensington,dinosaur,indoor,S9,11.73
1403.wav,kensington,cromwell,outdoor,S143,7.07
1404.wav,campus,reception,indoor,S136,7.85
1405.wav,campus,curve,indoor,S153,9.66
1406.wav,westend,market,indoor,S190,9.4
1407.wav,campus,square,outdoor,S172,7.42
1408.wav,southbank,food,outdoor,S96,7.1
1409.wav,Euston,gardens,outdoor,S92,6.5
1410.wav,campus,square,outdoor,S82,7.28
1411.wav,campus,library,outdoor,S56,14.03
1412.wav,british,forecourt,outdoor,S173,7.11
1413.wav,british,forecourt,outdoor,S50,8.95
1414.wav,westend,national,indoor,S56,12.97
1415.wav,campus,library,outdoor,S50,8.3
1416.wav,campus,curve,indoor,S113,7.5
1417.wav,westend,piazza,outdoor,S66,7.98
1418.wav,british,street,outdoor,S8,7.67
1419.wav,westend,market,indoor,S31,9.89
1420.wav,kensington,marine,indoor,S107,7.5
1421.wav,british,forecourt,outdoor,S73,7.82
1422.wav,westend,charing,indoor,S163,7
1423.wav,british,square,outdoor,S85,8.14
1424.wav,british,square,outdoor,S181,10.62
1425.wav,westend,national,indoor,S91,7.53
1426.wav,southbank,food,outdoor,S92,6.19
1427.wav,westend,piazza,outdoor,S137,7.17
1428.wav,Euston,upper,indoor,S150,8.06
1429.wav,Euston,library,indoor,S97,7.43
1430.wav,kensington,pond,outdoor,S114,9.89
1431.wav,british,room12,indoor,S178,9.26
1432.wav,westend,market,indoor,S157,8.31
1433.wav,Euston,ritblat,indoor,S187,9.2
1434.wav,british,forecourt,outdoor,S27,9.11
1435.wav,westend,trafalgar,outdoor,S139,9.26
1436.wav,british,greatcourt,indoor,S13,19.48
1437.wav,campus,square,outdoor,S147,7
1438.wav,british,forecourt,outdoor,S133,7.7
1439.wav,campus,library,outdoor,S55,14.35
1440.wav,westend,piazza,outdoor,S105,8
1441.wav,westend,leicester,outdoor,S157,7.67
1442.wav,british,street,outdoor,S23,8.38
1443.wav,westend,piazza,outdoor,S27,9.89
1444.wav,westend,trafalgar,outdoor,S94,7.04
1445.wav,kensington,hintze,indoor,S19,7.91
1446.wav,westend,piazza,outdoor,S90,6.85
1447.wav,westend,market,indoor,S19,7.94
1448.wav,westend,piazza,outdoor,S177,8.68
1449.wav,british,greatcourt,indoor,S71,8.61
1450.wav,southbank,book,outdoor,S118,10.68
1451.wav,southbank,bridge,outdoor,S111,7.13
1452.wav,westend,trafalgar,outdoor,S154,8
1453.wav,southbank,food,outdoor,S4,7.29
1454.wav,Euston,gardens,outdoor,S5,7.5
1455.wav,british,greatcourt,indoor,S26,7.02
1456.wav,kensington,cromwell,outdoor,S19,8.28
1457.wav,southbank,bridge,outdoor,S28,7.57
1458.wav,westend,piazza,outdoor,S43,7.55
1459.wav,british,room12,indoor,S135,9.73
1460.wav,campus,ground,indoor,S135,9.15
1461.wav,british,square,outdoor,S118,10.75
1462.wav,campus,curve,indoor,S93,7.66
1463.wav,campus,canal,outdoor,S26,7.02
1464.wav,british,street,outdoor,S94,6.83
1465.wav,british,street,outdoor,S64,7.82
1466.wav,westend,piazza,outdoor,S91,7.7
1467.wav,kensington,marine,indoor,S153,8.51
1468.wav,southbank,skate,outdoor,S45,7.03
1469.wav,Euston,upper,indoor,S100,8.41
1470.wav,campus,library,outdoor,S157,8.47
1471.wav,british,room23,indoor,S105,7.83
1472.wav,campus,reception,indoor,S82,7.45
1473.wav,british,square,outdoor,S174,8.64
1474.wav,campus,library,outdoor,S133,7.36
1475.wav,westend,national,indoor,S65,8.61
1476.wav,westend,trafalgar,outdoor,S118,11.15
1477.wav,westend,market,indoor,S29,7.87
1478.wav,british,street,outdoor,S85,7.38
1479.wav,campus,ground,indoor,S97,7.43
1480.wav,southbank,bridge,outdoor,S109,7.46
1481.wav,southbank,waterloo,indoor,S34,8
1482.wav,westend,market,indoor,S126,7.47
1483.wav,southbank,waterloo,indoor,S178,8.73
1484.wav,westend,market,indoor,S176,10.37
1485.wav,british,street,outdoor,S144,8.63
1486.wav,campus,reception,indoor,S191,7.95
1487.wav,campus,reception,indoor,S55,12.6
1488.wav,Euston,gardens,outdoor,S62,8.23
1489.wav,southbank,food,outdoor,S76,7.01
1490.wav,british,greatcourt,indoor,S40,7.04
1491.wav,british,greatcourt,indoor,S186,6.78
1492.wav,westend,charing,indoor,S31,9.22
1493.wav,kensington,marine,indoor,S191,8
1494.wav,campus,library,outdoor,S152,11.58
1495.wav,campus,reception,indoor,S40,7.04
1496.wav,kensington,dinosaur,indoor,S191,7.95
1497.wav,southbank,bridge,outdoor,S83,7.13
1498.wav,Euston,upper,indoor,S146,7.42
1499.wav,campus,ground,indoor,S76,7.01
1500.wav,campus,square,outdoor,S141,8.45
1501.wav,british,room23,indoor,S5,7.69
1502.wav,Euston,piazza,outdoor,S46,7.94
1503.wav,southbank,bridge,outdoor,S126,10.34
1504.wav,southbank,waterloo,indoor,S159,7.13
1505.wav,westend,charing,indoor,S13,14.35
1506.wav,Euston,ritblat,indoor,S145,8.29
1507.wav,campus,ground,indoor,S193,7.7
1508.wav,southbank,book,outdoor,S159,7.17
1509.wav,westend,leicester,outdoor,S25,8.03
1510.wav,Euston,upper,indoor,S93,9.1
1511.wav,campus,library,outdoor,S174,8.87
1512.wav,westend,piazza,outdoor,S100,7.32
1513.wav,southbank,bridge,outdoor,S178,8.57
1514.wav,campus,canal,outdoor,S57,12.6
1515.wav,southbank,waterloo,indoor,S190,8.93
1516.wav,Euston,library,indoor,S62,8.37
1517.wav,westend,trafalgar,outdoor,S193,7.64
1518.wav,campus,square,outdoor,S24,7.82
1519.wav,campus,square,outdoor,S97,7.22
1520.wav,westend,trafalgar,outdoor,S90,9.26
1521.wav,campus,square,outdoor,S134,7.15
1522.wav,southbank,bridge,outdoor,S74,13.2
1523.wav,Euston,piazza,outdoor,S5,7.52
1524.wav,campus,curve,indoor,S56,11.97
1525.wav,campus,canal,outdoor,S37,7.04
1526.wav,Euston,forecourt,outdoor,S176,10.37
1527.wav,british,square,outdoor,S31,9.27
1528.wav,westend,leicester,outdoor,S96,7.13
1529.wav,westend,trafalgar,outdoor,S48,7.5
1530.wav,southbank,food,outdoor,S178,8.27
1531.wav,british,greatcourt,indoor,S10,12.15
1532.wav,british,greatcourt,indoor,S27,9.18
1533.wav,campus,ground,indoor,S28,7.71
1534.wav,kensington,hintze,indoor,S127,7.04
1535.wav,westend,trafalgar,outdoor,S89,7.76
1536.wav,campus,curve,indoor,S192,9.01
1537.wav,british,greatcourt,indoor,S89,8.24
1538.wav,westend,national,indoor,S31,9.17
1539.wav,campus,library,outdoor,S114,6.9
1540.wav,westend,piazza,outdoor,S136,7.79
1541.wav,campus,curve,indoor,S155,7.57
1542.wav,british,room12,indoor,S8,7.83
1543.wav,campus,canal,outdoor,S107,7.64
1544.wav,kensington,dinosaur,indoor,S56,11.5
1545.wav,kensington,dinosaur,indoor,S1,6.97
1546.wav,british,room12,indoor,S89,8.52
1547.wav,Euston,forecourt,outdoor,S110,9.78
1548.wav,british,street,outdoor,S131,8.73
1549.wav,kensington,hintze,indoor,S192,9.1
1550.wav,british,square,outdoor,S10,15.96
1551.wav,campus,canal,outdoor,S140,8.3
1552.wav,Euston,upper,indoor,S165,7.81
1553.wav,campus,canal,outdoor,S110,11.05
1554.wav,british,room12,indoor,S87,10.71
1555.wav,british,greatcourt,indoor,S80,9.01
1556.wav,westend,trafalgar,outdoor,S155,7.77
1557.wav,westend,leicester,outdoor,S77,7.68
1558.wav,westend,trafalgar,outdoor,S157,7.4
1559.wav,westend,charing,indoor,S56,10.7
1560.wav,campus,curve,indoor,S165,7.82
1561.wav,westend,charing,indoor,S146,5.05
1562.wav,british,forecourt,outdoor,S182,7.59
1563.wav,campus,ground,indoor,S181,9.77
1564.wav,Euston,forecourt,outdoor,S109,7.67
1565.wav,british,square,outdoor,S64,8.2
1566.wav,campus,canal,outdoor,S86,7.85
1567.wav,Euston,piazza,outdoor,S45,7.03
1568.wav,campus,reception,indoor,S127,7
1569.wav,westend,trafalgar,outdoor,S77,7.65
1570.wav,campus,square,outdoor,S62,8.43
1571.wav,westend,market,indoor,S36,7
1572.wav,kensington,marine,indoor,S72,7.45
1573.wav,british,room12,indoor,S156,7.08
1574.wav,campus,curve,indoor,S19,7.62
1575.wav,campus,curve,indoor,S157,8.36
1576.wav,british,room23,indoor,S155,8.01
1577.wav,westend,charing,indoor,S105,7.47
1578.wav,kensington,cromwell,outdoor,S179,8.21
1579.wav,campus,library,outdoor,S126,8.74
1580.wav,british,room23,indoor,S131,8.9
1581.wav,westend,market,indoor,S51,7.73
1582.wav,kensington,marine,indoor,S56,12.93
1583.wav,campus,reception,indoor,S185,8.73
1584.wav,british,forecourt,outdoor,S37,7.04
1585.wav,southbank,bridge,outdoor,S190,10.15
1586.wav,Euston,forecourt,outdoor,S93,8.43
1587.wav,campus,library,outdoor,S122,7.4
1588.wav,campus,library,outdoor,S139,7.9
1589.wav,british,forecourt,outdoor,S172,8.25
1590.wav,southbank,royal,indoor,S190,9.3
1591.wav,british,greatcourt,indoor,S87,10.62
1592.wav,Euston,forecourt,outdoor,S90,8.54
1593.wav,westend,trafalgar,outdoor,S191,7.87
1594.wav,westend,piazza,outdoor,S155,7.94
1595.wav,british,street,outdoor,S66,7.96
1596.wav,british,square,outdoor,S170,7.45
1597.wav,campus,library,outdoor,S150,8.38
1598.wav,southbank,skate,outdoor,S126,8.47
1599.wav,campus,canal,outdoor,S150,8.22
1600.wav,british,room12,indoor,S55,11.07
1601.wav,southbank,waterloo,indoor,S115,8.06
1602.wav,british,square,outdoor,S50,8.68
1603.wav,kensington,hintze,indoor,S1,7.17
1604.wav,kensington,dinosaur,indoor,S107,7.54
1605.wav,southbank,food,outdoor,S85,7.06
1606.wav,british,greatcourt,indoor,S181,9.83
1607.wav,campus,reception,indoor,S60,8.26
1608.wav,campus,reception,indoor,S8,8.37
1609.wav,campus,reception,indoor,S138,7.94
1610.wav,campus,ground,indoor,S187,9.73
1611.wav,westend,leicester,outdoor,S95,7.91
1612.wav,southbank,bridge,outdoor,S29,7.72
1613.wav,westend,leicester,outdoor,S27,9.71
1614.wav,westend,charing,indoor,S94,6.97
1615.wav,campus,reception,indoor,S24,7.64
1616.wav,campus,canal,outdoor,S135,9.4
1617.wav,southbank,royal,indoor,S36,7
1618.wav,campus,curve,indoor,S105,8.3
1619.wav,westend,market,indoor,S72,7.85
1620.wav,kensington,hintze,indoor,S153,8.75
1621.wav,westend,market,indoor,S167,7.71
1622.wav,british,greatcourt,indoor,S117,7.4
1623.wav,Euston,upper,indoor,S114,8.68
1624.wav,southbank,royal,indoor,S76,7.01
1625.wav,campus,curve,indoor,S167,8.01
1626.wav,southbank,book,outdoor,S29,7.87
1627.wav,southbank,skate,outdoor,S36,7.01
1628.wav,kensington,marine,indoor,S84,7.02
1629.wav,Euston,upper,indoor,S46,7.89
1630.wav,british,street,outdoor,S86,7.17
1631.wav,british,greatcourt,indoor,S31,8.85
1632.wav,westend,national,indoor,S39,7.76
1633.wav,campus,canal,outdoor,S63,7.53
1634.wav,westend,leicester,outdoor,S84,7.02
1635.wav,kensington,marine,indoor,S127,7.04
1636.wav,campus,square,outdoor,S40,7.04
1637.wav,westend,charing,indoor,S101,7.83
1638.wav,westend,charing,indoor,S134,8.15
1639.wav,southbank,skate,outdoor,S77,7.68
1640.wav,westend,national,indoor,S135,8.82
1641.wav,westend,market,indoor,S147,6.26
1642.wav,british,forecourt,outdoor,S186,6.87
1643.wav,campus,curve,indoor,S8,7.99
1644.wav,Euston,gardens,outdoor,S57,12.9
1645.wav,westend,trafalgar,outdoor,S153,8.59
1646.wav,Euston,upper,indoor,S45,7.03
1647.wav,westend,trafalgar,outdoor,S61,7.24
1648.wav,campus,library,outdoor,S13,10.4
1649.wav,westend,market,indoor,S164,7.32
1650.wav,Euston,library,indoor,S38,10.3
1651.wav,westend,national,indoor,S94,7.13
1652.wav,southbank,skate,outdoor,S168,7.04
1653.wav,westend,piazza,outdoor,S42,7.29
1654.wav,british,greatcourt,indoor,S73,7.66
1655.wav,campus,square,outdoor,S191,7.89
1656.wav,westend,market,indoor,S96,7.03
1657.wav,campus,library,outdoor,S72,7.62
1658.wav,westend,leicester,outdoor,S13,12.98
1659.wav,campus,reception,indoor,S140,7.54
1660.wav,british,room12,indoor,S131,8.76
1661.wav,campus,ground,indoor,S67,7.68
1662.wav,campus,square,outdoor,S37,7.06
1663.wav,westend,national,indoor,S182,7.86
1664.wav,westend,market,indoor,S181,10.92
1665.wav,british,square,outdoor,S112,7.5
1666.wav,westend,piazza,outdoor,S25,7.83
1667.wav,campus,square,outdoor,S119,5.6
1668.wav,campus,curve,indoor,S55,12.65
1669.wav,campus,curve,indoor,S66,7.94
1670.wav,westend,leicester,outdoor,S131,8.76
1671.wav,british,street,outdoor,S173,8.91
1672.wav,westend,trafalgar,outdoor,S87,10.75
1673.wav,westend,national,indoor,S191,7.8
1674.wav,westend,leicester,outdoor,S80,9.02
1675.wav,westend,market,indoor,S163,7
1676.wav,southbank,food,outdoor,S79,7.01
1677.wav,british,square,outdoor,S117,7.79
1678.wav,westend,national,indoor,S173,7.57
1679.wav,british,room12,indoor,S23,8
1680.wav,campus,reception,indoor,S111,7.36
1681.wav,kensington,hintze,indoor,S103,7.01
1682.wav,campus,curve,indoor,S35,7.3
1683.wav,campus,canal,outdoor,S157,8.43
1684.wav,british,room23,indoor,S31,9.06
1685.wav,campus,canal,outdoor,S18,6.78
1686.wav,campus,reception,indoor,S43,7.63
1687.wav,campus,ground,indoor,S112,7.73
1688.wav,southbank,skate,outdoor,S16,7.34
1689.wav,campus,library,outdoor,S28,7.52
1690.wav,campus,curve,indoor,S183,8.64
1691.wav,westend,trafalgar,outdoor,S74,11.9
1692.wav,british,street,outdoor,S39,8.52
1693.wav,campus,curve,indoor,S62,8.67
1694.wav,Euston,piazza,outdoor,S166,7.13
1695.wav,westend,charing,indoor,S65,8.59
1696.wav,westend,charing,indoor,S28,7.78
1697.wav,Euston,upper,indoor,S85,7.6
1698.wav,westend,leicester,outdoor,S173,13.38
1699.wav,Euston,piazza,outdoor,S38,9.73
1700.wav,campus,ground,indoor,S143,7.07
1701.wav,westend,charing,indoor,S104,8.41
1702.wav,campus,canal,outdoor,S17,8.59
1703.wav,british,street,outdoor,S154,8
1704.wav,Euston,ritblat,indoor,S186,6.76
1705.wav,westend,charing,indoor,S183,8.72
1706.wav,british,forecourt,outdoor,S31,8.69
1707.wav,southbank,book,outdoor,S150,7.83
1708.wav,campus,curve,indoor,S131,9.93
1709.wav,westend,market,indoor,S172,7.58
1710.wav,campus,square,outdoor,S130,7.36
1711.wav,westend,national,indoor,S146,7.81
1712.wav,campus,reception,indoor,S39,7.18
1713.wav,westend,charing,indoor,S147,6.99
1714.wav,Euston,piazza,outdoor,S186,6.9
1715.wav,campus,library,outdoor,S69,7.23
1716.wav,campus,canal,outdoor,S40,7.04
1717.wav,campus,canal,outdoor,S168,7.04
1718.wav,campus,reception,indoor,S17,8.03
1719.wav,Euston,gardens,outdoor,S165,8.43
1720.wav,Euston,gardens,outdoor,S59,8
1721.wav,kensington,albert,outdoor,S114,10.19
1722.wav,westend,trafalgar,outdoor,S75,5.6
1723.wav,british,greatcourt,indoor,S133,7.4
1724.wav,campus,canal,outdoor,S4,7.57
1725.wav,british,forecourt,outdoor,S38,11.13
1726.wav,campus,library,outdoor,S58,8.26
1727.wav,campus,ground,indoor,S45,7.03
1728.wav,campus,library,outdoor,S17,7.45
1729.wav,Euston,gardens,outdoor,S50,7.9
1730.wav,campus,square,outdoor,S9,9.47
1731.wav,british,square,outdoor,S23,7.81
1732.wav,westend,trafalgar,outdoor,S137,7.37
1733.wav,Euston,forecourt,outdoor,S47,8.42
1734.wav,campus,reception,indoor,S18,8.18
1735.wav,campus,ground,indoor,S132,7
1736.wav,british,room12,indoor,S104,8.64
1737.wav,Euston,piazza,outdoor,S176,11.61
1738.wav,westend,trafalgar,outdoor,S115,8.94
1739.wav,british,forecourt,outdoor,S124,7.08
1740.wav,westend,leicester,outdoor,S97,7.17
1741.wav,Euston,gardens,outdoor,S103,7.01
1742.wav,campus,canal,outdoor,S75,7.62
1743.wav,southbank,skate,outdoor,S34,8.12
1744.wav,british,room12,indoor,S169,7.59
1745.wav,westend,piazza,outdoor,S83,7.06
1746.wav,westend,piazza,outdoor,S131,9.41
1747.wav,campus,canal,outdoor,S97,7.11
1748.wav,kensington,albert,outdoor,S9,9.17
1749.wav,campus,square,outdoor,S93,7.59
1750.wav,southbank,royal,indoor,S45,7.04
1751.wav,campus,canal,outdoor,S185,9.29
1752.wav,campus,square,outdoor,S55,14.43
1753.wav,Euston,library,indoor,S90,8.59
